Time [s],Channel 0,Channel 4,Channel 5
0.125305542,0,0,0
0.125306792,1,0,0
0.125307958,0,0,0
0.125309208,1,0,0
0.125310333,0,0,0
0.125311583,1,0,0
0.125312708,0,0,0
0.125313958,1,0,0
0.125315125,0,0,0
0.125315750,0,1,0
0.125316500,1,1,0
0.125317500,0,1,0
0.125318250,0,1,1
0.125322292,0,1,0
0.125324292,0,0,0
0.125324792,1,0,0
0.125325917,0,0,0
0.125327167,1,0,0
0.125328292,0,0,0
0.125328958,0,1,0
0.125329708,1,1,0
0.125330833,0,1,0
0.125331583,0,0,0
0.125332083,1,0,0
0.125333208,0,0,0
0.125334458,1,0,0
0.125335625,0,0,0
0.125336875,1,0,0
0.125338000,0,0,0
0.125339250,1,0,0
0.125340375,0,0,0
0.125341625,1,0,0
0.125342667,0,0,0
0.125344792,0,1,0
0.125345542,1,1,0
0.125346667,0,1,0
0.125347417,0,0,0
0.125347917,1,0,0
0.125349042,0,0,0
0.125350333,1,0,0
0.125351458,0,0,0
0.125352708,1,0,0
0.125353833,0,0,0
0.125354458,0,1,0
0.125355208,1,1,0
0.125356375,0,1,0
0.125357750,1,1,0
0.125358875,0,1,0
0.125360250,1,1,0
0.125361375,0,1,0
0.125362125,0,0,0
0.125362625,1,0,0
0.125363667,0,0,0
0.125364417,0,0,1
0.125368167,0,0,0
0.125370708,1,0,0
0.125371833,0,0,0
0.125373083,1,0,0
0.125374208,0,0,0
0.125374833,0,1,0
0.125375583,1,1,0
0.125376708,0,1,0
0.125377500,0,0,0
0.125378000,1,0,0
0.125379125,0,0,0
0.125380375,1,0,0
0.125381500,0,0,0
0.125382125,0,1,0
0.125382875,1,1,0
0.125384042,0,1,0
0.125385417,1,1,0
0.125386542,0,1,0
0.125387917,1,1,0
0.125388917,0,1,0
0.125391208,0,0,0
0.125391708,1,0,0
0.125392833,0,0,0
0.125393458,0,1,0
0.125394208,1,1,0
0.125395333,0,1,0
0.125396708,1,1,0
0.125397875,0,1,0
0.125399250,1,1,0
0.125400375,0,1,0
0.125401125,0,0,0
0.125401625,1,0,0
0.125402750,0,0,0
0.125404000,1,0,0
0.125405167,0,0,0
0.125406417,1,0,0
0.125407542,0,0,0
0.125408792,1,0,0
0.125409792,0,0,0
0.125410542,0,0,1
0.125414208,0,0,0
0.125416083,0,1,0
0.125416833,1,1,0
0.125417958,0,1,0
0.125419375,1,1,0
0.125420500,0,1,0
0.125421875,1,1,0
0.125423000,0,1,0
0.125423750,0,0,0
0.125424250,1,0,0
0.125425417,0,0,0
0.125426667,1,0,0
0.125427792,0,0,0
0.125429042,1,0,0
0.125430167,0,0,0
0.125431458,1,0,0
0.125432583,0,0,0
0.125433208,0,1,0
0.125433958,1,1,0
0.125434958,0,1,0
0.125437208,0,0,0
0.125437708,1,0,0
0.125438875,0,0,0
0.125440125,1,0,0
0.125441250,0,0,0
0.125442500,1,0,0
0.125443625,0,0,0
0.125444917,1,0,0
0.125446042,0,0,0
0.125447292,1,0,0
0.125448417,0,0,0
0.125449667,1,0,0
0.125450833,0,0,0
0.125452083,1,0,0
0.125453208,0,0,0
0.125454458,1,0,0
0.125455458,0,0,0
0.125456208,0,0,1
0.125459875,0,0,0
0.125461750,0,1,0
0.125462500,1,1,0
0.125463667,0,1,0
0.125465042,1,1,0
0.125466167,0,1,0
0.125467542,1,1,0
0.125468667,0,1,0
0.125469417,0,0,0
0.125469958,1,0,0
0.125471083,0,0,0
0.125472333,1,0,0
0.125473458,0,0,0
0.125474708,1,0,0
0.125475875,0,0,0
0.125476500,0,1,0
0.125477250,1,1,0
0.125478375,0,1,0
0.125479125,0,0,0
0.125479625,1,0,0
0.125480625,0,0,0
0.125483417,1,0,0
0.125484542,0,0,0
0.125485792,1,0,0
0.125486917,0,0,0
0.125488167,1,0,0
0.125489333,0,0,0
0.125490583,1,0,0
0.125491708,0,0,0
0.125492958,1,0,0
0.125494083,0,0,0
0.125495375,1,0,0
0.125496500,0,0,0
0.125497750,1,0,0
0.125498875,0,0,0
0.125500125,1,0,0
0.125501125,0,0,0
0.125501917,0,0,1
0.125517875,0,0,0
0.125519750,0,1,0
0.125520542,1,1,0
0.125521667,0,1,0
0.125522417,0,0,0
0.125522917,1,0,0
0.125524042,0,0,0
0.125524667,0,1,0
0.125525417,1,1,0
0.125526542,0,1,0
0.125527333,0,0,0
0.125527833,1,0,0
0.125528958,0,0,0
0.125530208,1,0,0
0.125531333,0,0,0
0.125532583,1,0,0
0.125533750,0,0,0
0.125535000,1,0,0
0.125536125,0,0,0
0.125537375,1,0,0
0.125538375,0,0,0
0.125542542,1,0,0
0.125543667,0,0,0
0.125544917,1,0,0
0.125546083,0,0,0
0.125547333,1,0,0
0.125548458,0,0,0
0.125549083,0,1,0
0.125549833,1,1,0
0.125550958,0,1,0
0.125551708,0,0,0
0.125552208,1,0,0
0.125553375,0,0,0
0.125554000,0,1,0
0.125554750,1,1,0
0.125555875,0,1,0
0.125557250,1,1,0
0.125558375,0,1,0
0.125559167,0,0,0
0.125559667,1,0,0
0.125560667,0,0,0
0.125565042,1,0,0
0.125566208,0,0,0
0.125567458,1,0,0
0.125568583,0,0,0
0.125569833,1,0,0
0.125570958,0,0,0
0.125571583,0,1,0
0.125572375,1,1,0
0.125573500,0,1,0
0.125574250,0,0,0
0.125574750,1,0,0
0.125575875,0,0,0
0.125577125,1,0,0
0.125578292,0,0,0
0.125579542,1,0,0
0.125580667,0,0,0
0.125581917,1,0,0
0.125582917,0,0,0
0.125587333,1,0,0
0.125588458,0,0,0
0.125589708,1,0,0
0.125590833,0,0,0
0.125592125,1,0,0
0.125593250,0,0,0
0.125594500,1,0,0
0.125595625,0,0,0
0.125596875,1,0,0
0.125598042,0,0,0
0.125599292,1,0,0
0.125600417,0,0,0
0.125601667,1,0,0
0.125602792,0,0,0
0.125604042,1,0,0
0.125605083,0,0,0
0.125608833,0,1,0
0.125609583,1,1,0
0.125610708,0,1,0
0.125612125,1,1,0
0.125613250,0,1,0
0.125614625,1,1,0
0.125615750,0,1,0
0.125616500,0,0,0
0.125617000,1,0,0
0.125618125,0,0,0
0.125618792,0,1,0
0.125619542,1,1,0
0.125620667,0,1,0
0.125622042,1,1,0
0.125623167,0,1,0
0.125623917,0,0,0
0.125624417,1,0,0
0.125625542,0,0,0
0.125626833,1,0,0
0.125627833,0,0,0
0.125631583,0,1,0
0.125632333,1,1,0
0.125633500,0,1,0
0.125634875,1,1,0
0.125636000,0,1,0
0.125637375,1,1,0
0.125638500,0,1,0
0.125639250,0,0,0
0.125639750,1,0,0
0.125640917,0,0,0
0.125641542,0,1,0
0.125642292,1,1,0
0.125643417,0,1,0
0.125644167,0,0,0
0.125644667,1,0,0
0.125645792,0,0,0
0.125647042,1,0,0
0.125648208,0,0,0
0.125648833,0,1,0
0.125649583,1,1,0
0.125650583,0,1,0
